[RUN] passes=5 max_updates=120 delay_ms=1100
[RUN] pass 1/5 started...
Loading provinces/districts...
Loading POIs...
POI loaded: 27008
Mismatch candidates: 989
[1] St. Simon Manastırı | Hatay: - -> Defne
[13] Beydağı Tabiat Parkı | Malatya: - -> Battalgazi
[14] Novotel Kayseri | Kayseri: - -> Kocasinan
[15] Çıldır Gölü Konağı - Lake Cildir Lodge | Ardahan: - -> Çıldır
[16] Gümüşhacıköy Dede Korkut Parkı | Amasya: - -> Gümüşhacıköy
[17] İskenderun Millet Parkı | Hatay: - -> İskenderun
[18] Üsküdar Sahili Yürüme Yolu | İstanbul: - -> Üsküdar
[19] VE HOTELS KIZILCAHAMAM | Ankara: - -> Kızılcahamam
[20] Khalkedon Hotel Istanbul | İstanbul: - -> Kadıköy
[21] Gaziantep Zooloji Müzesi | Gaziantep: - -> Şahinbey
[22] Behramkale manzara tepesi | Çanakkale: - -> Ayvacık
[23] ULU RESORT HOTEL | Mersin: - -> Gülnar
[24] TAYFUN HOTEL | Mersin: - -> Anamur
[25] Strada | İstanbul: - -> Kadıköy
[26] Lusnika Kafe | İstanbul: - -> Kadıköy
[27] Nakkaştepe Millet Bahçesi | İstanbul: - -> Üsküdar
[28] The Hunger Kayseri | Kayseri: - -> Melikgazi
[29] Karadağ Eylül pansıyon | Niğde: - -> Çamardı
[30] Kayalar Blue Beach & Hotel | Çanakkale: - -> Ayvacık
[31] Emli Valley | Niğde: - -> Çamardı
[32] 180 Coffee Brasserie | İstanbul: - -> Kadıköy
[33] Cafe Cambridge | İstanbul: - -> Kadıköy
[34] Mezzo Hotel | İstanbul: - -> Kadıköy
[35] Kadıköy Boğa Heykeli | İstanbul: - -> Kadıköy
[36] Soğuksu Milli Parkı | Ankara: - -> Kızılcahamam
[37] Saha Caffe & Restaurant - Hookah | Gaziantep: - -> İslahiye
[38] Saadet Grand Hotel | Hatay: - -> Defne
[39] Kıranardı Mesire Alanı | Kayseri: - -> Melikgazi
[40] Ayvacık Belediyesi Çamlık Kır Lokantası | Çanakkale: - -> Ayvacık
[41] DENNİS BOAT - Boat trip with Captain Mehmet -Mehmet Kaptanla Günlük veya Özel Kekova Turu- Кекова прогулка на лодке | Antalya: - -> Demre
[42] Golden Lake Hotel | Adana: - -> Çukurova
[43] Cuci Hotel di Mare - Bayramoglu | Kocaeli: - -> Darıca
[44] 120 Urla | İzmir: - -> Urla
[45] İnkaya Tarihi Çınar ağacı | Bursa: - -> Osmangazi
[46] Adatepe Köyü | Çanakkale: - -> Ayvacık
[47] Akçay Sahili | Balıkesir: - -> Edremit
[48] Parkhouse Hotel & Spa | İstanbul: - -> Kadıköy
[49] Güzeldere Şelalesi Tabiat Parkı | Düzce: - -> Gölyaka
[50] Connect Thermal Hotel | Ankara: - -> Kahramankazan
[51] Gölbaşı Hakimevi | Ankara: - -> Gölbaşı
[52] Kültür Park | Konya: - -> Selçuklu
[53] Küçük Aile Pansiyonu (Havuzlu Pansiyon) | Adana: - -> Yumurtalık
[54] Meryem Ana Kilisesi | Şırnak: - -> İdil
[55] Ballıkayalar Tabiat Parkı | Kocaeli: - -> Gebze
[56] Atatürk Parkı | Adana: - -> Seyhan
[57] Belgrad Orman Bentler Tabiat Parkı | İstanbul: - -> Sarıyer
[58] Acıgöl | Konya: - -> Karapınar
[59] Kayabaşı Tabiat Parkı | Trabzon: - -> Akçaabat
[60] Kerpe Kayalıkları | Kocaeli: - -> Kandıra
[61] Tahtakuşlar Etnografya Galerisi | Balıkesir: - -> Edremit
[62] KAVURMACI YAKUP | Ankara: - -> Kızılcahamam
[63] Elif Ana Türbesi | Kahramanmaraş: - -> Türkoğlu
[64] Sakarya Park | Sakarya: - -> Erenler
[65] UCARI LAKE - UCARI GÖLETİ | Denizli: - -> Acıpayam
[66] Alacati Carsi | İzmir: - -> Çeşme
[67] Filizi Köşk (TBMM) | İstanbul: - -> Kadıköy
[68] Kerpe Plajı | Kocaeli: - -> Kandıra
[69] Golden Deluxe Hotel | Adana: - -> Seyhan
[70] Zeyve Pazarı | Karaman: - -> Ermenek
[71] CHERRY GARDEN CITY&SPA HOTEL | Konya: - -> Ereğli
[72] Aden Yat Kiralama - İstanbul Tekne Kiralama | İstanbul: - -> Beşiktaş
[73] Konya Kebap Evi | Konya: - -> Selçuklu
[74] Uzunkuyu | İzmir: - -> Urla
[75] Bayezid-i Bistami Hazretleri Türbesi | Hatay: - -> Kırıkhan
[76] Topuk Yaylası Tabiat Parkı | Kütahya: - -> Domaniç
[77] Apollon Smintheion | Çanakkale: - -> Ayvacık
[78] Şehrar Suite Hotel | Trabzon: - -> Sürmene
[79] Village Coffee + Eatery | İstanbul: - -> Kadıköy
[80] Tütün İskelesi | Samsun: - -> İlkadım
[81] Zeus Antik | Hatay: - -> Antakya
[82] Beypazarı Evleri | Ankara: - -> Beypazarı
[83] Yoncaköy Plajı | İzmir: - -> Menderes
[84] Dara Antik Kenti Batı Yeraltı Su Sarnıcı | Mardin: - -> Artuklu
[85] Hadrian Kapısı | Antalya: - -> Muratpaşa
[86] Kazım Karabekir Paşa Müzesi | İstanbul: - -> Kadıköy
[87] Renaissance Polat İstanbul Hotel | İstanbul: - -> Bakırköy
[88] Nallıhan Kuş Cenneti Mahalli Öneme Haiz Sulak Alanı | Ankara: - -> Nallıhan
[89] Ağaç Ev Kadıköy | İstanbul: - -> Kadıköy
[90] Burç Tabiat Parkı | Gaziantep: - -> Şahinbey
[91] Garipçe Kalesi | İstanbul: - -> Sarıyer
[92] Yeni Adana Stadyumu | Adana: - -> Sarıçam
[93] Erikli Şelalesi | Yalova: - -> Çınarcık
[94] İes balıkevi & kahvaltı | Çanakkale: - -> Ayvacık
[95] Çamlık Koy | Antalya: - -> Demre
[96] Hemdemtepe Kamp Alanı | Çanakkale: - -> Ayvacık
[97] Ayık Çorba Kebap | İstanbul: - -> Kadıköy
[98] Akbaba Et Mangal/ Sırık Kebabı | Çorum: - -> Kargı
[99] Kurşunlu Kaplıcaları | Manisa: - -> Salihli
[100] İkram Güveç | Kütahya: - -> Tavşanlı
[101] Arslan Bey Tabiat Parkı | Kahramanmaraş: - -> Onikişubat
[102] Salman Et Kasap & Izgara Darıca | Kocaeli: - -> Darıca
[103] ASSOS ALTIN OTEL | Çanakkale: - -> Ayvacık
[104] Tirmana Plajı | İstanbul: - -> Sarıyer
[105] Şelale, Antakya | Hatay: - -> Defne
[106] Kaya ESpor ve Oyun Merkezi | Hatay: - -> Reyhanlı
[107] Turgut Özal Tabiat Parkı | Malatya: - -> Battalgazi
[108] Saca Marin | İstanbul: - -> Kadıköy
[109] Kadıköy Midyecisi | İstanbul: - -> Kadıköy
[110] Aşıklar Köprüsü | Kastamonu: - -> Azdavay
[111] Mardin Yaşayan Müze | Mardin: - -> Artuklu
[112] Karakuş Aile Çay Bahçesi | Tekirdağ: - -> Muratlı
[113] Kuğulu Tabiat Parkı | Konya: - -> Seydişehir
[114] KÖFTECİ EMRAH | Zonguldak: - -> Alaplı
[115] Fenerbahçe Dalyan Sahili | İstanbul: - -> Kadıköy
[116] Deyrulzafaran Manastırı | Mardin: - -> Artuklu
[117] Yumurtalık Lagünü Milli Parkı | Adana: - -> Yumurtalık
[118] Milli Parklar Kuş Gözlem Kulesi | İstanbul: - -> Sarıyer
[119] Bostanlı Günbatımı Seyir Terası | İzmir: - -> Karşıyaka
[120] Mahmut Arif Paşa Konağı Kahramanmaraş Etnografya Müzesi | Kahramanmaraş: - -> Onikişubat
Done. checked=222, updated=120, dry_run=false, max_updates=120
[RUN] pass 2/5 finished
[RUN] pass 3/5 started...
Loading provinces/districts...
Loading POIs...
POI loaded: 27008
Mismatch candidates: 749
[1] Cafe Neva Breakfast | İstanbul: - -> Kadıköy
[2] Fenerbahçe Topuk Yaylası Resort&Sport | Düzce: - -> Kaynaşlı
[3] Old Town Restaurant 07 | Antalya: - -> Muratpaşa
